;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;""Antigua and Barbuda"";Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;""Bonaire"," Saint Eustatius and Saba"";""Bosnia and Herzegovina"";Botswana;Brazil;""British Virgin Islands"";""Brunei Darussalam"";Bulgaria;""Burkina Faso"";Burundi;Cambodia;Cameroon;Canada;""Cape Verde"";""Cayman Islands"";""Central African Republic"";Chad;Chile;China;Colombia;Comoros;Congo;""Cook Islands"";""Costa Rica"";""C̫te d'Ivoire"";Croatia;Cuba;Cura̤ao;Cyprus;""Czech Republic"";""Democratic Republic of the Congo"";Denmark;Djibouti;Dominica;""Dominican Republic"";Ecuador;Egypt;""El Salvador"";""Equatorial Guinea"";Eritrea;Estonia;Ethiopia;""Faeroe Islands"";""Falkland Islands (Malvinas)"";Fiji;Finland;France;""French Guiana"";""French Polynesia"";Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;""Hong Kong"";Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;""Macedonia (Republic of)"";Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;""Marshall Islands"";Martinique;Mauritania;Mauritius;Mexico;""Micronesia (Federated States of)"";Moldova;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;""New Caledonia"";""New Zealand"";Nicaragua;Niger;Nigeria;Niue;""North Korea"";Norway;""Occupied Palestinian Territory"";Oman;Pakistan;Palau;Panama;""Papua New Guinea"";Paraguay;Peru;Philippines;Poland;Portugal;Qatar;""Republic of South Sudan"";R̩union;Romania;""Russian Federation"";Rwanda;""Saint Helena"";""Saint Kitts and Nevis"";""Saint Lucia"";""Saint Pierre and Miquelon"";""Saint Vincent and the Grenadines"";Samoa;""Sao Tome and Principe"";""Saudi Arabia"";Senegal;Serbia;Seychelles;""Sierra Leone"";Singapore;Slovakia;Slovenia;""Solomon Islands"";Somalia;""South Africa"";""South Korea"";Spain;""Sri Lanka"";Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;""Trinidad and Tobago"";Tunisia;Turkey;Turkmenistan;""Turks and Caicos Islands"";Tuvalu;Uganda;Ukraine;""United Arab Emirates"";""United Kingdom"";""United States of America"";Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;""Wallis and Futuna Islands"";""Western Sahara"";Yemen;Zambia;Zimbabwe",,,,,,,,,,,
1960;0.41403;2.0225;6.1555;;0.5496;;0.03664;48.7752;2.4946;0.61856;88.1302;30.7959;24.0776;0.41037;0.57525;2.2119;0.17221;37.425;90.9258;0.043968;0.16122;0.15755;;1.0039;0.46548;5.2621;;46.8699;;0.33342;22.2771;0.043968;0.036431;0.2345;0.27114;192.7374;0.021984;0.010992;0.087936;0.05496;13.4799;780.0876;16.3964;0.010992;0.2235;;0.49098;0.46166;5.739;13.6887;8.9591;0.88669;99.0651;2.3193;29.7553;0.040304;0.010992;1.0406;1.7624;16.041;0.61922;0.021984;;10.2232;0.35174;0.058624;0.19419;0.19419;15.092;270.9968;0.021984;0.03664;0.1319;0.01832;6.5653;814.0712;1.4619;0.047632;9.3982;0.2235;0.021984;0.15755;1.3447;0.41037;0.01832;0.65952;0.28579;0.61555;2.9532;45.3347;1.2128;120.4833;21.3868;37.3618;8.2587;11.1715;6.4633;109.2678;1.4693;232.5907;0.74379;112.1854;2.4256;;7.797;4.8023;0.080608;6.0551;2.5795;;0.16488;0.6925;;9.4822;11.5086;0.051296;3.7675;0.39938;0.43853;4.2026;;0.12091;0.34075;;0.16854;0.03664;0.17954;63.0648;;8.9783;1.2934;0.67008;;3.6384;1.8833;2.715;;;0.080608;73.4449;0.86104;11.5343;0.53128;0.029312;3.4039;;23.7977;13.0915;;;11.9311;;0.99661;0.17954;0.30411;8.1671;8.3283;199.6037;8.2184;0.17587;0.11328;0.07328;53.4065;889.9131;0.069825;;;0.014656;0.03664;0.010992;0.014656;0.010992;2.6747;0.82806;15.183;;0.71448;1.3923;31.6774;4.3622;0.010992;0.084272;97.8544;12.5419;48.8888;2.257;1.2461;0.43235;0.032976;49.1819;19.5071;3.2207;11.8787;3.132;0.82806;3.7116;;0.065952;0.010992;2.5795;1.7257;16.8068;14.1401;;;0.42136;270.1115;0.010992;583.8218;2888.3312;4.3162;47.8664;;57.0228;7.4856;;;3.631;4.3561;5.9446,,,,,,,,,,,,
1961;0.49098;2.279;6.0603;;0.45434;;0.047632;51.1384;2.5726;0.64555;90.5155;31.8365;24.8305;0.54594;1.7697;2.2905;0.19419;38.5951;92.7175;0.03664;0.12824;0.17587;;1.0406;0.48579;5.5156;;49.1636;;0.30411;25.9521;0.0916;0.047737;0.28579;0.28213;194.0235;0.021984;0.010992;0.087936;0.051296;14.4618;551.6152;18.2028;0.010992;0.26747;;0.49098;0.55326;6.0155;12.1718;9.35;0.8647;107.5216;2.356;31.7083;0.043968;0.010992;1.0296;1.6451;17.0742;0.58258;0.021984;;10.5429;0.34075;0.11358;0.15389;0.16854;14.9271;280.9812;0.021984;0.058624;0.16488;0.021984;6.7706;834.9706;1.3447;0.051296;9.8159;0.29312;0.01832;0.17587;1.407;0.61555;0.029312;0.73646;0.29678;0.73646;3.3709;48.9364;1.0919;130.2955;26.0034;36.5118;8.713;12.355;7.0642;124.4478;2.1288;282.8864;0.97829;115.6931;2.3999;0.007328;9.9734;4.9525;0.11358;6.2444;2.682;;0.16122;1.1945;;9.7787;11.5819;0.069616;3.949;0.35541;0.37345;4.6863;;0.11725;0.29312;;0.17221;0.047632;0.18686;65.2522;;9.259;1.3923;0.70236;;3.7739;2.6308;2.5904;;;0.080608;75.8265;0.88669;11.7578;0.56059;0.05496;4.111;;26.4358;13.3406;;;12.3546;;1.1029;0.20152;0.36274;8.636;8.7167;207.2652;9.0831;0.16122;0.11542;0.084272;55.7294;917.7381;0.091495;;;0.01832;0.047632;0.010992;0.01832;0.010992;3.5687;0.81341;15.9144;;0.28946;2.0921;34.3815;4.5724;0.014656;0.087936;102.1303;14.4508;53.6336;2.334;1.2696;0.42869;0.003664;48.8118;20.3718;3.0631;12.5345;3.2299;0.70349;4.144;;0.0916;0.010992;4.5983;1.766;17.349;14.5823;;;0.4067;278.5572;0.010992;588.4567;2878.1489;4.1183;49.363;;51.8859;7.9802;;;2.6637;3.7096;5.0623,,,,,,,,,,,,
1962;0.68883;2.4622;5.6645;;1.1798;;0.10259;53.652;2.7;0.70894;94.8353;33.8773;26.0607;0.72547;1.5902;2.5168;0.26014;40.5074;98.0376;0.069616;0.13557;0.15755;;1.0992;0.53349;5.66;;53.652;0.003664;0.37006;30.7116;0.084272;0.043968;0.30778;0.28946;207.016;0.01832;0.010992;0.07328;0.084272;16.7115;439.9988;19.4265;0.010992;0.23816;;0.5496;0.58624;6.173;14.1577;10.2681;0.90501;114.5816;2.1728;36.8965;0.047632;0.010992;1.2421;1.5645;18.5801;0.64853;0.021984;;11.0652;0.39571;0.11725;0.047632;0.23083;16.7958;298.4621;0.021984;0.047632;0.087936;0.025648;7.1061;883.3061;1.4326;0.05496;10.1566;0.26381;0.025648;0.18686;1.3813;0.65952;0.040304;0.67784;0.30411;0.69982;3.6823;50.5192;1.1981;143.3503;22.9769;37.4314;9.0244;13.1098;7.9362;146.3365;2.1178;292.9808;1.0479;121.4252;2.6234;0.010992;14.2786;5.1979;0.1319;6.5538;2.8543;;0.25282;1.0479;;10.2632;11.5416;0.095264;4.0523;0.39571;0.36073;4.7779;;0.13923;0.32976;;0.17221;0.062288;0.25282;63.7573;;9.7178;1.9712;0.72075;0.003664;3.0778;1.9859;2.8799;;;0.087936;83.29;0.56426;11.2008;0.65952;0.065952;4.177;;30.697;14.0661;;;13.5755;;1.1908;0.19786;0.39205;9.9624;10.3398;216.6377;9.2956;0.19053;0.12366;0.0916;63.8269;963.2084;0.084272;;;0.01832;0.032976;0.010992;0.01832;0.010992;6.2508;0.81341;16.3311;;0.3261;2.5758;36.639;4.6921;0.014656;0.10626;105.6808;17.2648;60.0053;2.5611;1.3603;0.49464;;51.285;24.1348;3.2023;14.1724;3.3899;0.76578;5.0307;;0.087936;0.010992;7.2327;1.7954;21.6139;15.3047;;;0.42869;292.3586;0.01832;592.8755;2984.764;4.0084;51.8088;0.040304;54.0623;9.3395;;;3.8838;3.5833;4.8899,,,,,,,,,,,,
1963;0.70715;2.0812;5.4227;;1.1505;;0.084272;50.0429;2.8956;0.67909;100.9469;36.9624;27.9484;0.70715;1.1945;2.8933;0.19053;43.4415;105.6954;0.062288;0.12091;0.15022;;1.2128;0.51103;6.2966;;55.5719;0.003664;0.35541;34.383;0.087936;0.047632;0.38838;0.30045;210.9365;0.014656;0.010992;0.07328;0.0916;17.3417;436.3384;21.2402;0.010992;0.2345;;0.6009;0.62288;6.8672;13.0292;9.8357;0.98562;120.5311;2.2937;40.6741;0.065952;0.014656;1.2494;1.7954;21.537;1.1248;0.025648;;11.8667;0.42136;0.12458;0.047632;0.24182;19.3423;333.7464;0.025648;0.065952;0.07328;0.029312;7.6208;945.6381;1.7221;0.05496;12.2488;0.32976;0.014656;0.20518;1.5206;0.69616;0.047632;0.61555;0.24915;0.71082;4.2466;56.2351;1.3044;153.9576;22.7644;41.3079;9.3872;13.4505;8.2037;164.6455;2.3963;324.9565;1.2201;130.2207;2.8543;0.01832;17.012;5.5744;0.14656;7.0286;3.0265;;0.35541;1.4619;;11.0066;11.439;0.10626;4.5081;0.46166;0.34682;5.8294;;0.17587;0.41037;;0.20885;0.087936;0.20885;66.3074;;10.4217;1.6012;0.80181;0.003664;3.9571;1.6598;2.6344;;;0.098928;91.153;0.61922;12.2194;0.84272;0.087936;5.3458;;32.8368;14.9711;;;15.6062;;1.1835;0.25648;0.41037;10.2262;11.4756;231.0299;10.0174;6.1335;0.13984;0.11358;69.4731;1032.9783;0.084272;;;0.021984;0.03664;0.014656;0.021984;0.007328;6.9396;0.86104;18.1677;0.007328;0.37006;3.3965;38.5414;5.2198;0.014656;0.10259;109.7368;21.0863;58.7742;2.5318;1.5383;0.53128;;55.3264;29.0812;3.609;15.1177;3.6355;0.80242;5.5656;;0.10626;0.010992;1.308;1.9456;22.6508;16.4133;;;0.43235;313.5355;0.021984;603.3289;3116.679;4.3162;55.5615;0.032976;56.1581;9.1124;;;2.9165;3.445;4.7013,,,,,,,,,,,,
1964;0.83906;2.0152;5.6462;;1.2238;;0.0916;55.6818;3.0795;0.66028;108.8904;38.9117;29.7232;1.0845;1.5975;2.9747;0.17954;46.2001;103.5776;0.084272;0.1429;0.20152;;1.4803;0.49687;7.1337;;56.6894;0.007328;0.34075;42.8285;0.10992;0.047632;0.34075;0.33709;237.6067;0.029312;0.010992;0.07328;0.098928;17.5103;436.5656;21.6909;0.010992;0.26747;;0.67418;0.76211;7.7802;14.2823;9.5633;1.0003;125.4396;1.9749;43.1546;0.084272;0.014656;1.7477;2.1434;25.5014;1.2311;0.025648;;12.6203;0.4067;0.12091;0.010992;0.42502;22.834;345.0206;0.029312;0.065952;0.19053;0.029312;8.1047;969.0767;1.6488;0.05496;13.2124;0.3151;0.021984;0.21618;1.7697;0.69982;0.058624;0.64853;0.30045;0.72181;4.2209;62.3503;1.308;150.5244;22.376;47.5221;9.0684;14.22;9.1417;175.8134;4.0634;359.0244;1.2421;138.4899;2.8249;0.01832;25.3146;5.9284;0.17221;7.4749;3.2646;;0.48365;0.66318;;11.7056;12.2964;0.12824;5.1074;0.48365;0.32976;7.4013;;0.17587;0.4983;;0.2345;0.11725;0.30778;74.218;;11.0835;2.0445;0.90841;0.007328;4.4188;2.1398;2.8579;;0.029312;0.15022;96.7882;1.0992;13.0951;0.94898;0.095264;7.2694;;35.6287;16.1766;;0.010992;16.0452;;1.2421;0.26747;0.43235;12.2561;12.8277;242.9159;11.014;6.2691;0.1548;0.12458;72.0562;1098.574;0.03664;;;0.021984;0.047632;0.01832;0.025648;0.010992;7.0422;0.92333;20.5832;0.007328;0.30411;3.7006;40.111;5.9138;0.01832;0.13557;119.56;22.2002;64.3582;2.2717;1.7028;0.60456;0.010992;60.3827;28.1432;4.3638;16.9167;3.8663;1.0332;7.4746;;0.1319;0.010992;3.7922;2.7553;26.3148;17.4556;;;0.49098;333.4455;0.01832;607.8576;3253.3316;4.5544;59.0898;0.062288;56.5575;11.7908;;;3.631;3.2756;4.4701,,,,,,,,,,,,
1965;1.0076;2.1728;6.5915;;1.1871;;0.15022;58.8182;3.2668;0.59239;120.868;38.1569;31.5307;1.3154;1.2274;3.1214;0.20518;49.0096;105.3547;0.084272;0.15022;0.17954;;1.5096;0.44578;7.3399;;56.3523;0.007328;0.33342;46.28;0.10259;0.03664;0.40304;0.31144;251.9476;0.025648;0.010992;0.087936;0.10626;17.7521;475.5835;22.867;0.014656;0.24549;;0.84638;1.1725;8.005;14.5974;8.58;1.1505;122.2274;2.4695;44.3014;0.12091;0.014656;1.5462;2.2753;27.6192;1.0406;0.029312;;13.3877;0.64486;0.13557;0.010992;0.34442;25.3072;351.5645;0.03664;0.084272;0.21618;0.029312;8.5976;960.2648;1.7038;0.047632;17.012;0.34442;0.021984;0.20518;1.9749;0.69616;0.065952;1.0772;0.30411;0.75112;4.8035;61.2438;1.396;165.8363;24.6697;53.7216;19.2983;13.7217;12.9339;189.612;2.9898;386.6033;1.4216;146.9116;2.4659;0.010992;35.3906;6.2889;0.17954;7.9294;3.3159;;0.55693;1.0149;;12.4174;12.1938;0.1319;5.255;0.55693;0.34808;8.3832;;0.19786;0.47266;;0.24549;0.16122;0.30411;75.1853;;11.7575;1.9566;0.93466;0.003664;4.2576;2.0042;2.726;;0.032976;0.17954;100.4156;1.2311;13.6887;0.78043;0.0916;11.7541;;44.2318;16.3964;;0.025648;16.8364;;1.5279;0.30411;0.5496;11.9556;13.9708;247.0196;11.5892;6.2874;0.20213;0.15022;78.6588;1165.3794;0.047632;;;0.025648;0.040304;0.014656;0.029312;0.010992;4.2173;1.6928;21.1779;0.007328;0.28213;2.5282;39.0838;6.0847;0.025648;0.1319;128.1557;24.9848;71.0596;2.6564;2.2234;0.79509;0.080608;62.5775;30.3452;3.675;17.8547;4.1014;1.1615;7.4452;;0.1319;0.010992;5.1919;2.4622;27.3664;18.5171;;;0.62654;353.7226;0.021984;622.1106;3388.1484;5.518;62.6831;0.047632;60.7381;13.1538;;;3.9278;3.9132;5.2102,,,,,,,,,,,,
1966;1.0919;2.5501;8.4235;;1.5535;;0.34808;63.0868;3.4499;0.55394;120.2342;39.2268;33.2981;1.0919;0.64853;3.1764;0.26747;51.7568;105.1202;0.080608;0.11358;0.20152;;1.6891;0.41685;7.2732;;64.2519;0.010992;0.49098;48.7275;0.10259;0.047632;0.46899;0.34442;259.1071;0.021984;0.01832;0.084272;0.084272;18.778;522.3618;23.4826;0.01832;0.30778;;0.99294;1.2934;7.9323;15.1726;8.0232;1.2421;121.5389;2.4036;50.0869;0.13923;0.014656;1.6708;2.4182;26.542;1.3044;0.025648;;14.1382;0.8244;0.13923;0.010992;0.32243;29.4952;346.9515;0.043968;0.12091;0.38106;0.032976;9.0795;951.5884;1.44;0.05496;18.6351;0.38838;0.029312;0.25282;1.7404;0.71814;0.065952;1.1798;0.30411;0.80608;5.1626;61.6834;1.4949;171.6254;23.3763;64.109;27.6815;15.0993;13.5861;214.0729;3.5174;419.3998;1.5828;155.1467;2.682;0.010992;35.1231;6.6414;0.2345;8.3739;3.6274;;0.61189;2.6271;;13.1134;11.6112;0.15022;5.2073;0.57891;0.42869;9.8378;;0.19053;0.41403;;0.27114;0.17954;0.2748;80.8645;;12.4165;1.9529;0.92617;0.007328;5.463;2.1251;2.8066;;0.032976;0.19053;103.5703;1.5096;14.0038;0.95997;0.13557;12.8973;;47.61;19.5474;;0.029312;17.1332;;1.6561;0.34075;0.51296;13.2454;16.1106;252.4716;11.842;6.2728;0.22015;0.17954;84.1144;1230.7047;0.043968;;;0.029312;0.043968;0.01832;0.025648;0.010992;6.4083;1.7184;20.9855;0.007328;0.30045;0.67418;38.8637;6.0294;0.025648;0.13923;128.251;29.9898;77.6658;2.6601;2.4216;1.0955;0.20152;72.5325;31.5031;4.9134;19.4742;4.3313;1.3703;9.4714;;0.17954;0.010992;4.0524;2.8836;31.5214;19.5551;;;0.7328;373.5506;0.025648;618.0582;3558.9641;5.4007;66.1968;0.076944;56.9825;19.1847;;;3.4625;3.4991;6.0419,,,,,,,,,,,,
1967;1.2824;2.6784;8.4345;;0.99294;;0.56426;65.4903;3.6074;0.68236;129.1597;39.9339;34.8181;1.7038;1.0039;3.3712;0.33709;54.1194;107.3845;0.12091;0.1429;0.21251;;1.8906;0.51349;7.3465;;66.1389;0.003664;0.43968;55.1212;0.10259;0.047632;0.4177;0.458;281.6663;0.01832;0.014656;0.0916;0.11725;19.2433;432.8796;24.6954;0.01832;0.32243;;0.8757;1.4876;8.0122;15.7369;9.8831;1.363;121.2863;2.29;49.0353;0.087936;0.021984;1.5682;2.5904;19.661;1.1578;0.025648;;14.7836;1.0736;0.16854;0.01832;0.35541;28.5939;371.7055;0.069616;0.13923;1.0113;0.032976;9.494;936.3865;1.4949;0.062288;19.5181;0.4177;0.03664;0.28946;1.9822;0.72547;0.047632;1.3227;0.26014;0.8757;6.0529;58.7816;1.4436;172.0981;24.5415;67.8866;18.3786;16.4001;13.5312;234.2359;3.8655;489.4811;1.4143;162.2289;2.7004;0.021984;25.4208;6.9446;0.31877;8.7562;3.5687;;0.61189;18.4922;;13.712;11.3511;0.16488;5.2598;0.84272;0.3664;10.131;;0.2235;0.52029;;0.29678;0.19786;0.4983;90.0281;;12.9833;2.1508;0.9355;0.007328;5.4117;1.8723;3.6164;;0.047632;0.21251;106.6957;1.4729;13.6301;1.0809;0.1319;12.8277;;52.4025;19.3129;;0.13557;18.1841;;1.6964;0.43602;0.48731;13.6447;18.2174;259.0704;12.399;6.6831;0.26533;0.21251;92.0543;1286.8842;0.040304;;;0.032976;0.051296;0.01832;0.025648;0.010992;25.4868;0.69982;21.197;0.007328;0.25282;3.0558;38.7829;6.0902;0.032976;0.22717;133.7763;35.1231;86.4484;2.9459;2.9187;1.3337;0.22717;68.9455;32.5363;4.6056;21.984;4.5291;1.7587;12.1572;;0.19786;0.014656;4.635;3.0851;33.4963;20.4477;;;0.80974;390.6025;0.916;592.0328;3692.6855;4.8804;69.2186;0.084272;65.7615;22.966;;;3.0521;4.7888;5.2945,,,,,,,,,,,,
1968;1.2238;3.0704;9.0537;;1.6708;;0.98928;69.0261;3.7087;0.63451;134.5128;42.3155;35.7964;1.6305;1.1029;3.8657;0.43968;55.6399;118.4608;0.10259;0.15389;0.2235;;2.1764;0.47748;7.8574;;77.358;0.014656;0.42869;59.4777;0.10259;0.05496;0.49098;0.50563;303.2913;0.029312;0.021984;0.1832;0.12458;21.2072;468.545;26.5823;0.01832;0.45067;;1.0369;1.7624;8.5694;16.0227;9.1901;1.6232;126.8943;3.3672;53.2819;0.12091;0.021984;2.3486;3.1144;22.8853;1.2604;0.029312;;15.1989;1.7257;0.1832;;0.39571;33.2874;384.317;0.084272;0.15389;1.9602;0.03664;9.7607;984.9565;1.7624;0.065952;22.3028;0.54227;0.040304;0.27846;2.1398;0.74746;0.062288;1.33;0.26381;1.2238;6.1995;61.1045;1.5938;187.1828;27.5643;82.3374;19.7013;17.807;13.7986;249.2912;3.8802;562.1052;1.5059;166.7868;2.8176;0.032976;22.4237;7.1397;0.16854;9.0022;3.697;;0.88302;30.1144;;14.0973;12.2597;0.16854;5.6255;0.91234;0.38838;10.534;;0.19786;0.63754;;0.30778;0.2345;0.63754;93.912;;13.3481;2.4805;1.0006;0.007328;5.6242;2.7773;2.9275;;0.047632;0.25282;113.4594;1.8393;13.4762;1.2311;0.16122;6.6282;;59.2799;21.123;;0.16122;20.8516;;2.0189;0.50197;0.5899;14.4911;22.2332;275.8479;12.9999;7.0752;0.25862;0.21618;100.1078;1323.0397;0.05496;0.003664;;0.03664;0.040304;0.021984;0.029312;0.014656;29.0812;;22.6711;0.007328;0.38472;5.4154;40.5761;6.5137;0.03664;0.15389;137.9716;37.2116;97.0777;3.239;2.8448;1.4509;0.27846;77.6218;35.9988;5.9577;24.1568;4.6563;1.6525;17.0852;;0.19419;0.014656;4.0377;3.5944;36.2846;21.0222;;;0.98195;401.5766;1.2421;606.4726;3828.2205;4.8804;71.1633;0.062288;65.5819;23.6035;;;11.6369;4.569;6.379,,,,,,,,,,,,
1969;0.94165;3.2426;11.2668;;2.7846;;1.2568;77.2664;3.8624;0.83041;142.1412;44.6568;37.2796;1.7441;1.2714;3.7494;0.47998;57.9454;123.5171;0.13557;0.20152;0.19786;;2.5465;0.62489;8.1467;;84.2464;0.01832;0.48731;66.3221;0.12091;0.07328;1.3447;0.57158;307.1495;0.03664;0.043968;0.18686;0.16122;22.5373;576.7649;28.0259;0.01832;0.50197;0.010992;1.1468;2.0848;8.885;17.2464;12.0274;1.6708;134.7122;3.6493;59.3531;0.084272;0.01832;2.6527;3.5907;19.6793;1.1908;0.043968;;15.8287;1.6671;0.21251;;0.43235;37.9041;412.9218;0.084272;0.16122;1.4326;0.047632;10.1652;1052.1726;1.6891;0.065952;25.4538;0.4067;0.047632;0.31144;2.279;0.74746;0.058624;1.3667;0.3151;1.1761;7.753;62.3686;1.2641;190.5683;33.3644;83.0482;22.6069;18.4995;14.8062;269.7876;4.2686;653.4231;1.7587;173.6977;3.1291;0.010992;26.8095;7.4355;0.31877;9.3752;4.3492;;1.2714;35.5225;;14.6814;13.1831;0.16854;5.8327;0.85005;0.38106;9.1417;;0.16122;0.65219;;0.32976;0.2748;0.57158;102.2036;;13.9012;2.682;1.0374;0.007328;5.8221;3.239;3.2133;;0.065952;0.39938;115.8154;1.5572;14.2603;1.2861;0.19053;12.1022;;64.0907;22.2038;;0.2345;20.2241;;2.0518;0.55693;0.52029;15.2899;22.8414;293.4131;14.601;7.1668;0.34839;0.2235;111.5578;1377.8608;0.058624;;;0.062288;0.032976;0.029312;0.029312;0.014656;35.2733;0.49098;23.5059;0.007328;1.1065;7.1998;43.076;6.7535;0.03664;0.16122;143.1635;42.4877;96.8029;4.3162;3.8322;1.5206;0.30411;86.3971;38.0653;7.2364;26.3075;4.8492;1.7954;14.5497;;0.24182;0.010992;3.9022;3.8545;38.7761;21.8933;;;1.1761;418.2162;20.5074;628.343;4021.4562;5.5913;74.112;0.043968;68.9418;27.0586;;;4.6753;4.2722;6.7454,,,,,,,,,,,,
